tempName,Redshift,SFH_mburst,SFH_mpeak,SFH_mperiod,SFH_mskew,SFH_mSFR,Zfinal,tau_screen,veldisp,SFR,logmstar
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_-0.7_Zfinal_1e-04_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,-0.7,1,1e-04,2.1,45,0.974298150256097,9.50014628174488
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_-0.7_Zfinal_0.008_tau_screen_0_velDisp_45,1e-04,0,-0.1,5,-0.7,1,0.008,0,45,0.974298150256097,9.51387033578182
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_-0.7_Zfinal_0.008_tau_screen_1.2_velDisp_45,1e-04,0,-0.1,5,-0.7,1,0.008,1.2,45,0.974298150256097,9.51387033578182
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_-0.7_Zfinal_0.008_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,-0.7,1,0.008,2.1,45,0.974298150256097,9.51387033578182
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_-0.7_Zfinal_0.1_tau_screen_0_velDisp_45,1e-04,0,-0.1,5,-0.7,1,0.1,0,45,0.974298150256097,9.52057431555328
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_-0.7_Zfinal_0.1_tau_screen_1.2_velDisp_45,1e-04,0,-0.1,5,-0.7,1,0.1,1.2,45,0.974298150256097,9.52057431555328
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_-0.7_Zfinal_0.1_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,-0.7,1,0.1,2.1,45,0.974298150256097,9.52057431555328
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_1e-04_tau_screen_0_velDisp_45,1e-04,0,-0.1,5,0,1,1e-04,0,45,0.974278167298409,9.39262610047534
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_1e-04_tau_screen_1.2_velDisp_45,1e-04,0,-0.1,5,0,1,1e-04,1.2,45,0.974278167298409,9.39262610047534
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_1e-04_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,0,1,1e-04,2.1,45,0.974278167298409,9.39262610047534
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_0.008_tau_screen_0_velDisp_45,1e-04,0,-0.1,5,0,1,0.008,0,45,0.974278167298409,9.40622148782231
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_0.008_tau_screen_1.2_velDisp_45,1e-04,0,-0.1,5,0,1,0.008,1.2,45,0.974278167298409,9.40622148782231
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_0.008_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,0,1,0.008,2.1,45,0.974278167298409,9.40622148782231
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_0.1_tau_screen_0_velDisp_45,1e-04,0,-0.1,5,0,1,0.1,0,45,0.974278167298409,9.41266546643808
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_0.1_tau_screen_1.2_velDisp_45,1e-04,0,-0.1,5,0,1,0.1,1.2,45,0.974278167298409,9.41266546643808
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0_Zfinal_0.1_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,0,1,0.1,2.1,45,0.974278167298409,9.41266546643808
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_1e-04_tau_screen_0_velDisp_45,1e-04,0,-0.1,5,0.7,1,1e-04,0,45,0.974257238371246,9.25202295744005
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_1e-04_tau_screen_1.2_velDisp_45,1e-04,0,-0.1,5,0.7,1,1e-04,1.2,45,0.974257238371246,9.25202295744005
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_1e-04_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,0.7,1,1e-04,2.1,45,0.974257238371246,9.25202295744005
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_0.008_tau_screen_0_velDisp_45,1e-04,0,-0.1,5,0.7,1,0.008,0,45,0.974257238371246,9.2655032037934
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_0.008_tau_screen_1.2_velDisp_45,1e-04,0,-0.1,5,0.7,1,0.008,1.2,45,0.974257238371246,9.2655032037934
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_0.008_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,0.7,1,0.008,2.1,45,0.974257238371246,9.2655032037934
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_0.1_tau_screen_0_velDisp_45,1e-04,0,-0.1,5,0.7,1,0.1,0,45,0.974257238371246,9.27117705593859
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_0.1_tau_screen_1.2_velDisp_45,1e-04,0,-0.1,5,0.7,1,0.1,1.2,45,0.974257238371246,9.27117705593859
z_1e-04_mburst_0_mpeak_-0.1_mperiod_5_mskew_0.7_Zfinal_0.1_tau_screen_2.1_velDisp_45,1e-04,0,-0.1,5,0.7,1,0.1,2.1,45,0.974257238371246,9.27117705593859
